"original_path","original_name","new_folder_name","kind","stage","base","method","adapter","quant","ctx","rows","run_id","reason","evidence"
"I:\checkpoints_partialctx_26_checkpoints","checkpoints_partialctx_26_checkpoints","RUN__k-train-eval__s-legacy__b-unk__m-unk__a-full__q-unk__c-unk__r-unk__id-unk","train_eval","legacy","unk","unk","full","unk","unk","unk","unk","renamed using artifact/log-based canonical nomenclature",""
"I:\checkpoints_partialctx_with_word_training","checkpoints_partialctx_with_word_training","RUN__k-misc__s-legacy__b-unk__m-unk__a-unk__q-unk__c-unk__r-unk__id-unk","misc","legacy","unk","unk","unk","unk","unk","unk","unk","renamed using artifact/log-based canonical nomenclature",""
"I:\Dynamic_n_ctx_checkpoints_partialctx","Dynamic_n_ctx_checkpoints_partialctx","RUN__k-eval-only__s-legacy__b-unk__m-eval-only__a-unk__q-unk__c-dyn__r-unk__id-unk","eval_only","legacy","unk","eval-only","unk","unk","dyn","unk","unk","renamed using artifact/log-based canonical nomenclature",""
"I:\Dynamic_n_ctx_checkpoints_partialctx2","Dynamic_n_ctx_checkpoints_partialctx2","RUN__k-eval-only__s-legacy__b-unk__m-eval-only__a-unk__q-unk__c-dyn__r-unk__id-2","eval_only","legacy","unk","eval-only","unk","unk","dyn","unk","2","renamed using artifact/log-based canonical nomenclature",""
"I:\Dynamic_n_ctx_checkpoints_partialctx3","Dynamic_n_ctx_checkpoints_partialctx3","RUN__k-eval-only__s-legacy__b-unk__m-eval-only__a-unk__q-unk__c-dyn__r-unk__id-3","eval_only","legacy","unk","eval-only","unk","unk","dyn","unk","3","renamed using artifact/log-based canonical nomenclature",""
"I:\Stage_17_aug_futo_wer_dora_dyn_ctx_chkpts_small_en_22","Stage_17_aug_futo_wer_dora_dyn_ctx_chkpts_small_en_22","RUN__k-train-eval__s-17__b-futo-small-en__m-s17-qat-dora__a-dora-r8-a16__q-qat__c-dyn__r-148296__id-22","train_eval","17","futo-small-en","s17-qat-dora","dora-r8-a16","qat","dyn","148296","22","renamed using artifact/log-based canonical nomenclature","script=stage_17_WER_acft_Whisper_Futo_finetuned_model_training_only_local_en_version_only_qat_dora.py | rows=148296 | r=8 | lora_alpha=16 | use_dora=True | base_hint=Loading student from base: openai/whisper-tiny.en"
"I:\Stage_17_aug_futo_wer_dora_dyn_ctx_chkpts_small_en_23","Stage_17_aug_futo_wer_dora_dyn_ctx_chkpts_small_en_23","RUN__k-train-eval__s-17__b-futo-small-en__m-s17-qat-dora__a-dora-r8-a8__q-qat__c-dyn__r-148296__id-23","train_eval","17","futo-small-en","s17-qat-dora","dora-r8-a8","qat","dyn","148296","23","renamed using artifact/log-based canonical nomenclature","script=stage_17_WER_acft_Whisper_Futo_finetuned_model_training_only_local_en_version_only_qat_dora.py | rows=148296 | r=8 | lora_alpha=8 | use_dora=True | base_hint=Loading student from base: openai/whisper-small.en"
"I:\Stage_17_aug_futo_wer_dora_dyn_ctx_chkpts_small_en_24","Stage_17_aug_futo_wer_dora_dyn_ctx_chkpts_small_en_24","RUN__k-train-eval__s-17__b-futo-small-en__m-s17-qat-dora__a-dora-r16-a16__q-qat__c-dyn__r-161297__id-24","train_eval","17","futo-small-en","s17-qat-dora","dora-r16-a16","qat","dyn","161297","24","renamed using artifact/log-based canonical nomenclature","script=stage_17_WER_acft_Whisper_Futo_finetuned_model_training_only_local_en_version_only_qat_dora.py | rows=161297 | r=16 | lora_alpha=16 | use_dora=True | base_hint=Command: stage_17_WER_acft_Whisper_Futo_finetuned_model_training_only_local_en_version_only_qat_dora.py --manifest-path I:\Record_chunks/pairs_manifest_stage15_train_no_targets_randomized.jsonl --checkpoint-dir I:\Stage_17_aug_futo_wer_dora_dyn_ctx_chkpts_small_en_24 --futo-model-id futo-org/acft-whisper-small.en --processor-id openai/whisper-small.en"
"I:\Stage_17_aug_futo_wer_dora_dyn_ctx_chkpts_tiny_en_21","Stage_17_aug_futo_wer_dora_dyn_ctx_chkpts_tiny_en_21","RUN__k-train-eval__s-17__b-futo-tiny-en__m-s17-qat-dora__a-dora-runk-aunk__q-qat__c-dyn__r-148296__id-21","train_eval","17","futo-tiny-en","s17-qat-dora","dora-runk-aunk","qat","dyn","148296","21","renamed using artifact/log-based canonical nomenclature","script=stage_17_WER_acft_Whisper_Futo_finetuned_model_training_only_local_en_version_only_qat_dora.py | rows=148296 | base_hint=Loading student from base: openai/whisper-tiny.en"
"I:\Stage_17_aug_futo_wer_dora_dyn_ctx_qat6_0_chkpts_tiny_en_20","Stage_17_aug_futo_wer_dora_dyn_ctx_qat6_0_chkpts_tiny_en_20","RUN__k-train-eval__s-17__b-futo-tiny-en__m-s17-qat-dora__a-dora-runk-aunk__q-qat__c-dyn__r-148296__id-20","train_eval","17","futo-tiny-en","s17-qat-dora","dora-runk-aunk","qat","dyn","148296","20","renamed using artifact/log-based canonical nomenclature","script=stage_17_WER_acft_Whisper_Futo_finetuned_model_training_only_local_en_version_only_qat_dora.py | rows=148296 | base_hint=Loading student from base: openai/whisper-tiny.en"
"I:\Stage_17_aug_futo_wer_rank32_dora_dyn_ctx_chkpts_small_en_25","Stage_17_aug_futo_wer_rank32_dora_dyn_ctx_chkpts_small_en_25","RUN__k-train-eval__s-17__b-futo-small-en__m-s17-qat-dora__a-dora-r32-a16__q-qat__c-dyn__r-161297__id-25","train_eval","17","futo-small-en","s17-qat-dora","dora-r32-a16","qat","dyn","161297","25","renamed using artifact/log-based canonical nomenclature","script=stage_17_WER_acft_Whisper_Futo_finetuned_model_training_only_local_en_version_only_qat_dora.py | rows=161297 | r=32 | lora_alpha=16 | use_dora=True | base_hint=Command: stage_17_WER_acft_Whisper_Futo_finetuned_model_training_only_local_en_version_only_qat_dora.py --manifest-path I:\Record_chunks/pairs_manifest_stage15_train_no_targets_randomized.jsonl --checkpoint-dir I:\Stage_17_aug_futo_wer_rank32_dora_dyn_ctx_chkpts_small_en_25 --futo-model-id futo-org/acft-whisper-small.en --processor-id openai/whisper-small.en"
"I:\Stage_17_aug_futo_wer_rank64_dora_dyn_ctx_chkpts_small_en_26","Stage_17_aug_futo_wer_rank64_dora_dyn_ctx_chkpts_small_en_26","RUN__k-train-eval__s-17__b-futo-small-en__m-s17-qat-dora__a-dora-r64-a32__q-qat__c-dyn__r-161297__id-26","train_eval","17","futo-small-en","s17-qat-dora","dora-r64-a32","qat","dyn","161297","26","renamed using artifact/log-based canonical nomenclature","script=stage_17_WER_acft_Whisper_Futo_finetuned_model_training_only_local_en_version_only_qat_dora.py | rows=161297 | r=64 | lora_alpha=32 | use_dora=True | base_hint=Command: stage_17_WER_acft_Whisper_Futo_finetuned_model_training_only_local_en_version_only_qat_dora.py --manifest-path I:\Record_chunks/pairs_manifest_stage15_train_no_targets_randomized.jsonl --checkpoint-dir I:\Stage_17_aug_futo_wer_rank64_dora_dyn_ctx_chkpts_small_en_26 --futo-model-id futo-org/acft-whisper-small.en --processor-id openai/whisper-small.en"
"I:\Stage_17_aug_openai_wer_acft_lora_qat6_0_chkpts_tiny_en_18","Stage_17_aug_openai_wer_acft_lora_qat6_0_chkpts_tiny_en_18","RUN__k-train-eval__s-17__b-openai-tiny-en__m-s17-qat-lora__a-lora__q-qat__c-dyn__r-143588__id-18","train_eval","17","openai-tiny-en","s17-qat-lora","lora","qat","dyn","143588","18","renamed using artifact/log-based canonical nomenclature","script=stage_17_WER_acft_Whisper_Futo_finetuned_model_training_only_local_en_version_only_qat_lora.py | rows=143588 | base_hint=Loading student from base: openai/whisper-tiny.en"
"I:\Stage_17_aug_openai_wer_lora_dyn_ctx_qat6_0_chkpts_tiny_en_19","Stage_17_aug_openai_wer_lora_dyn_ctx_qat6_0_chkpts_tiny_en_19","RUN__k-train-eval__s-17__b-openai-tiny-en__m-s17-qat-lora__a-lora__q-qat__c-dyn__r-143588__id-19","train_eval","17","openai-tiny-en","s17-qat-lora","lora","qat","dyn","143588","19","renamed using artifact/log-based canonical nomenclature","script=stage_17_WER_acft_Whisper_Futo_finetuned_model_training_only_local_en_version_only_qat_lora.py | rows=143588 | base_hint=Loading student from base: openai/whisper-tiny.en"
"I:\Stage_17_no_aug_openai_wer_acft_lora_qat6_0_chkpts_tiny_en_17","Stage_17_no_aug_openai_wer_acft_lora_qat6_0_chkpts_tiny_en_17","RUN__k-train-only__s-17__b-openai-tiny-en__m-s17-qat-lora__a-lora__q-qat__c-dyn__r-28948__id-17","train_only","17","openai-tiny-en","s17-qat-lora","lora","qat","dyn","28948","17","renamed using artifact/log-based canonical nomenclature","script=stage_17_WER_acft_Whisper_Futo_finetuned_model_training_only_local_en_version_only_qat_lora.py | rows=28948 | base_hint=Loading student from base: openai/whisper-tiny.en"
"I:\Stage_17_no_aug_openai_wer_acft_lora_qat6_0_chkpts_tiny_en_17_merged","Stage_17_no_aug_openai_wer_acft_lora_qat6_0_chkpts_tiny_en_17_merged","RUN__k-eval-only__s-17__b-openai-tiny-en__m-eval-only__a-unk__q-unk__c-unk__r-unk__id-unk","eval_only","17","openai-tiny-en","eval-only","unk","unk","unk","unk","unk","renamed using artifact/log-based canonical nomenclature",""
"I:\Stage_17_no_aug_openai_wer_acft_qat6_0_checkpoints_partialctx_tiny_en_16","Stage_17_no_aug_openai_wer_acft_qat6_0_checkpoints_partialctx_tiny_en_16","RUN__k-train-eval__s-17__b-openai-tiny-en__m-s17-qat-full__a-full__q-qat__c-dyn__r-28948__id-16","train_eval","17","openai-tiny-en","s17-qat-full","full","qat","dyn","28948","16","renamed using artifact/log-based canonical nomenclature","script=stage_17_WER_acft_Whisper_Futo_finetuned_model_training_only_local_en_version_only_qat.py | rows=28948 | base_hint=Loading student from base: openai/whisper-tiny.en"
"I:\Stage_17_no_augmentation_wer_acft_qat6_0_checkpoints_partialctx_tiny_en_16","Stage_17_no_augmentation_wer_acft_qat6_0_checkpoints_partialctx_tiny_en_16","RUN__k-train-eval__s-17__b-openai-tiny-en__m-s17-qat-full__a-full__q-qat__c-dyn__r-28948__id-16__u-1","train_eval","17","openai-tiny-en","s17-qat-full","full","qat","dyn","28948","16","renamed using artifact/log-based canonical nomenclature","script=stage_17_WER_acft_Whisper_Futo_finetuned_model_training_only_local_en_version_only_qat.py | rows=28948 | base_hint=Loading student from base: openai/whisper-tiny.en"
